
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1.99999996e-002, -2.90690482e-001, 3.99999991e-002, 1.15141356e+000
1.99999996e-002, -2.91891694e-001, 3.99999991e-002, 1.19693708e+000
1.99999996e-002, -2.93092906e-001, 3.99999991e-002, 1.24262547e+000
1.99999996e-002, -2.94294119e-001, 3.99999991e-002, 1.29525959e+000
1.99999996e-002, -2.95495331e-001, 3.99999991e-002, 1.34879947e+000
1.99999996e-002, -2.96696544e-001, 3.99999991e-002, 1.40247381e+000
1.99999996e-002, -2.97897756e-001, 3.99999991e-002, 1.45626760e+000
1.99999996e-002, -2.99098969e-001, 3.99999991e-002, 1.51016808e+000
1.99999996e-002, -3.00300181e-001, 3.99999991e-002, 1.56416440e+000
1.99999996e-002, -3.01501393e-001, 3.99999991e-002, 1.61824691e+000
1.99999996e-002, -3.02702606e-001, 3.99999991e-002, 1.67240715e+000
1.99999996e-002, -3.03903818e-001, 3.99999991e-002, 1.71782541e+000
1.99999996e-002, -3.05105031e-001, 3.99999991e-002, 1.75560272e+000
1.99999996e-002, -3.06306243e-001, 3.99999991e-002, 1.79372716e+000
1.99999996e-002, -3.07507455e-001, 3.99999991e-002, 1.83217657e+000
1.99999996e-002, -3.08708668e-001, 3.99999991e-002, 1.87093127e+000
1.99999996e-002, -3.09909880e-001, 3.99999991e-002, 1.90997255e+000
1.99999996e-002, -3.11111093e-001, 3.99999991e-002, 1.94928300e+000
1.99999996e-002, -3.12312305e-001, 3.99999991e-002, 1.98884714e+000
1.99999996e-002, -3.13513517e-001, 3.99999991e-002, 2.02411246e+000
1.99999996e-002, -3.14714730e-001, 3.99999991e-002, 2.03346276e+000
1.99999996e-002, -3.15915942e-001, 3.99999991e-002, 2.04288435e+000
1.99999996e-002, -3.17117155e-001, 3.99999991e-002, 2.05237508e+000
1.99999996e-002, -3.18318367e-001, 3.99999991e-002, 2.06193566e+000
1.99999996e-002, -3.19519579e-001, 3.99999991e-002, 2.07156372e+000
1.99999996e-002, -3.20720792e-001, 3.99999991e-002, 2.08125949e+000
1.99999996e-002, -3.21922004e-001, 3.99999991e-002, 2.09102106e+000
1.99999996e-002, -3.23123217e-001, 3.99999991e-002, 2.10084844e+000
1.99999996e-002, -3.24324429e-001, 3.99999991e-002, 2.09505796e+000
1.99999996e-002, -3.25525641e-001, 3.99999991e-002, 2.08461332e+000
1.99999996e-002, -3.26726854e-001, 3.99999991e-002, 2.07416844e+000
1.99999996e-002, -3.27928066e-001, 3.99999991e-002, 2.06372404e+000
1.99999996e-002, -3.29129279e-001, 3.99999991e-002, 2.05327916e+000
1.99999996e-002, -3.30330491e-001, 3.99999991e-002, 2.04283476e+000
1.99999996e-002, -3.31531703e-001, 3.99999991e-002, 2.03239012e+000
1.99999996e-002, -3.32732916e-001, 3.99999991e-002, 2.02194548e+000
1.99999996e-002, -3.33934128e-001, 3.99999991e-002, 2.00809526e+000
1.99999996e-002, -3.35135341e-001, 3.99999991e-002, 1.98898840e+000
1.99999996e-002, -3.36336553e-001, 3.99999991e-002, 1.96988213e+000
1.99999996e-002, -3.37537766e-001, 3.99999991e-002, 1.95077682e+000
