
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
9.99999978e-003, -2.77477145e-001, 5.00000007e-002, 1.88458323e+000
9.99999978e-003, -2.78678358e-001, 5.00000007e-002, 1.94520569e+000
9.99999978e-003, -2.79879570e-001, 5.00000007e-002, 2.00583816e+000
9.99999978e-003, -2.81080782e-001, 5.00000007e-002, 2.06647992e+000
9.99999978e-003, -2.82281995e-001, 5.00000007e-002, 2.12712932e+000
9.99999978e-003, -2.83483207e-001, 5.00000007e-002, 2.18125653e+000
9.99999978e-003, -2.84684420e-001, 5.00000007e-002, 2.18453121e+000
9.99999978e-003, -2.85885632e-001, 5.00000007e-002, 2.18792129e+000
9.99999978e-003, -2.87086844e-001, 5.00000007e-002, 2.19142509e+000
9.99999978e-003, -2.88288057e-001, 5.00000007e-002, 2.19504237e+000
9.99999978e-003, -2.89489269e-001, 5.00000007e-002, 2.19877315e+000
9.99999978e-003, -2.90690482e-001, 5.00000007e-002, 2.20261598e+000
9.99999978e-003, -2.91891694e-001, 5.00000007e-002, 2.20657063e+000
9.99999978e-003, -2.93092906e-001, 5.00000007e-002, 2.21063685e+000
9.99999978e-003, -2.94294119e-001, 5.00000007e-002, 2.20651221e+000
9.99999978e-003, -2.95495331e-001, 5.00000007e-002, 2.19954491e+000
9.99999978e-003, -2.96696544e-001, 5.00000007e-002, 2.19262648e+000
9.99999978e-003, -2.97897756e-001, 5.00000007e-002, 2.18575764e+000
9.99999978e-003, -2.99098969e-001, 5.00000007e-002, 2.17893863e+000
9.99999978e-003, -3.00300181e-001, 5.00000007e-002, 2.17217016e+000
9.99999978e-003, -3.01501393e-001, 5.00000007e-002, 2.16545272e+000
9.99999978e-003, -3.02702606e-001, 5.00000007e-002, 2.15878606e+000
9.99999978e-003, -3.03903818e-001, 5.00000007e-002, 2.15193367e+000
9.99999978e-003, -3.05105031e-001, 5.00000007e-002, 2.14470434e+000
9.99999978e-003, -3.06306243e-001, 5.00000007e-002, 2.13749075e+000
9.99999978e-003, -3.07507455e-001, 5.00000007e-002, 2.13029122e+000
9.99999978e-003, -3.08708668e-001, 5.00000007e-002, 2.12310791e+000
9.99999978e-003, -3.09909880e-001, 5.00000007e-002, 2.11593962e+000
9.99999978e-003, -3.11111093e-001, 5.00000007e-002, 2.10878658e+000
9.99999978e-003, -3.12312305e-001, 5.00000007e-002, 2.10164952e+000
9.99999978e-003, -3.13513517e-001, 5.00000007e-002, 2.09449649e+000
